date,description,amount,category
2026-01-01,Flavor R&D,4470,COGS
2026-01-02,McKinsey Consulting,7516,COGS
2026-01-03,Flavor R&D,6604,COGS
2026-01-04,Corrugated boxes,4766,OpEx
2026-01-05,McKinsey Consulting,3399,OpEx
2026-01-06,Co-packer fee,5286,OpEx
2026-01-07,Flavor R&D,6724,SG&A
2026-01-08,Meta Ads,3908,SG&A
2026-01-09,Mixing equipment,3313,OpEx
2026-01-10,FDA Compliance,6594,SG&A
2026-01-11,Warehouse utilities,831,COGS
2026-01-12,Warehouse utilities,4135,SG&A
2026-01-13,Freight forwarding,2196,COGS
2026-01-14,Warehouse utilities,3872,R&D
2026-01-15,FDA Compliance,5005,COGS
2026-01-16,Meta Ads,5274,OpEx
2026-01-17,Co-packer fee,5453,SG&A
2026-01-18,Salaries,9375,SG&A
2026-01-19,Freight forwarding,4566,SG&A
2026-01-20,McKinsey Consulting,5111,COGS
2026-01-21,Co-packer fee,4579,COGS
2026-01-22,FDA Compliance,5426,SG&A
2026-01-23,FDA Compliance,7014,COGS
2026-01-24,Mixing equipment,3985,R&D
2026-01-25,McKinsey Consulting,4190,OpEx
2026-01-26,Meta Ads,3139,R&D
2026-01-27,FDA Compliance,1529,OpEx
2026-01-28,Salaries,239,R&D
2026-01-29,McKinsey Consulting,2397,R&D
2026-01-30,Flavor R&D,695,COGS
2026-01-31,Flavor R&D,5941,OpEx
2026-02-01,Meta Ads,3164,R&D
2026-02-02,McKinsey Consulting,6115,SG&A
2026-02-03,Warehouse utilities,6296,OpEx
2026-02-04,Warehouse utilities,4452,SG&A
2026-02-05,Mixing equipment,6401,OpEx
2026-02-06,Salaries,2722,OpEx
2026-02-07,Mixing equipment,9295,R&D
2026-02-08,Meta Ads,5831,OpEx
2026-02-09,McKinsey Consulting,4487,COGS
2026-02-10,McKinsey Consulting,2814,SG&A
2026-02-11,Corrugated boxes,3702,R&D
2026-02-12,Meta Ads,5941,OpEx
2026-02-13,Corrugated boxes,3502,SG&A
2026-02-14,McKinsey Consulting,7263,SG&A
2026-02-15,Warehouse utilities,5896,R&D
2026-02-16,FDA Compliance,4347,OpEx
2026-02-17,Freight forwarding,3580,R&D
2026-02-18,Freight forwarding,5696,OpEx
2026-02-19,FDA Compliance,4887,R&D
2026-02-20,FDA Compliance,4906,COGS
2026-02-21,Flavor R&D,6556,OpEx
2026-02-22,McKinsey Consulting,5264,R&D
2026-02-23,Meta Ads,5851,R&D
2026-02-24,Freight forwarding,3450,R&D
2026-02-25,McKinsey Consulting,3790,SG&A
2026-02-26,Salaries,6476,COGS
2026-02-27,Mixing equipment,6870,OpEx
2026-02-28,Warehouse utilities,6074,SG&A
2026-03-01,FDA Compliance,8053,SG&A
2026-03-02,McKinsey Consulting,3813,OpEx
2026-03-03,Mixing equipment,5362,SG&A
2026-03-04,Salaries,1930,R&D
2026-03-05,Warehouse utilities,5123,SG&A
2026-03-06,Salaries,5716,SG&A
2026-03-07,Mixing equipment,980,SG&A
2026-03-08,Freight forwarding,1682,SG&A
2026-03-09,Co-packer fee,9167,COGS
2026-03-10,Mixing equipment,6206,OpEx
2026-03-11,Corrugated boxes,4405,SG&A
2026-03-12,Warehouse utilities,4304,OpEx
2026-03-13,Corrugated boxes,6295,COGS
2026-03-14,Warehouse utilities,8673,OpEx
2026-03-15,FDA Compliance,5956,R&D
2026-03-16,Co-packer fee,3000,R&D
2026-03-17,Flavor R&D,3366,COGS
2026-03-18,McKinsey Consulting,602,R&D
2026-03-19,Mixing equipment,5152,COGS
2026-03-20,Flavor R&D,4312,R&D
2026-03-21,Co-packer fee,3168,COGS
2026-03-22,Warehouse utilities,2410,R&D
2026-03-23,Mixing equipment,4139,R&D
2026-03-24,Freight forwarding,6212,OpEx
2026-03-25,McKinsey Consulting,5343,COGS
2026-03-26,McKinsey Consulting,5476,SG&A
2026-03-27,Meta Ads,3264,SG&A
2026-03-28,FDA Compliance,7545,COGS
2026-03-29,Mixing equipment,3390,SG&A
2026-03-30,Meta Ads,4430,SG&A
2026-03-31,Freight forwarding,6775,SG&A
2026-04-01,Co-packer fee,2894,SG&A
2026-04-02,Corrugated boxes,4035,R&D
2026-04-03,Flavor R&D,3556,R&D
2026-04-04,FDA Compliance,2900,SG&A
2026-04-05,Flavor R&D,4746,OpEx
2026-04-06,McKinsey Consulting,4937,SG&A
2026-04-07,Mixing equipment,7568,R&D
2026-04-08,Co-packer fee,2924,COGS
2026-04-09,Freight forwarding,2882,SG&A
2026-04-10,Flavor R&D,2264,SG&A
